collected_date_year,collected_date_month,collected_date_day,collected_date_hour,collected_date_minute,gateway_id,device_address,data_type,data_value,status
2018,10,3,19,39,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,40,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,41,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,42,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,43,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,44,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,45,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,46,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,47,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,48,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,49,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,50,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,51,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,52,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,53,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,54,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,55,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,56,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,57,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,58,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,59,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,0,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,1,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,2,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,3,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,4,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,5,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,6,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,7,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,8,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,9,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,10,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,11,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,12,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,13,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,14,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,15,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,16,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,17,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,18,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,19,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,20,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,21,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,22,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,23,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,24,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,25,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,26,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,27,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,28,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,29,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,30,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,31,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,32,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,33,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,34,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,35,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,36,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,37,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,38,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,39,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,40,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,41,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,42,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,43,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,44,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,45,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,46,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,47,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,48,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,49,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,50,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,51,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,52,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,53,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,54,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,55,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,56,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,57,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,58,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,20,59,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,0,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,1,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,2,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,3,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,4,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,5,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,6,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,7,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,8,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,9,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,10,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,11,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,12,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,13,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,14,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,15,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,16,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,17,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,18,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,19,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,20,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,21,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,22,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,23,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,24,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,25,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,26,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,21,27,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
